condition	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_allocations	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
BAK1+KLF1	8	64	direct_effect_ridge	additive	-0.016457548381827284	0.030771096581544737	0.014313548199717457	30	30	0.014313548199717453	3.469446951953614e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	8	64	direct_effect_ridge	compositional_ridge	-0.016244858423504937	0.030771096581544737	0.014526238158039807	30	30	0.0145262381580398	6.938893903907228e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	8	64	direct_effect_ridge	CPA_0.8.8	0.00023494432588937856	0.030771096581544737	0.03100604090743412	30	13	0.031006040907434116	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
BAK1+KLF1	16	128	direct_effect_ridge	additive	-0.008825313332117004	0.015340822696117635	0.006515509364000634	30	30	0.006515509364000631	3.469446951953614e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	16	128	direct_effect_ridge	compositional_ridge	-0.008612623373794655	0.015340822696117635	0.006728199322322983	30	30	0.00672819932232298	3.469446951953614e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	16	128	direct_effect_ridge	CPA_0.8.8	0.006832012716667179	0.015340822696117635	0.022172835412784815	30	0	0.022172835412784815	0.0	False	False	False	False	False	effect_preferred_both
BAK1+KLF1	32	256	direct_effect_ridge	additive	-0.00497835253009026	0.0077340105629845465	0.002755658032894287	30	30	0.0027556580328942865	4.336808689942018e-19	True	True	True	False	False	state_to_effect
BAK1+KLF1	32	256	direct_effect_ridge	compositional_ridge	-0.004765662571767914	0.0077340105629845465	0.0029683479912166353	30	30	0.0029683479912166327	2.6020852139652106e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	32	256	direct_effect_ridge	CPA_0.8.8	0.010570764771633167	0.0077340105629845465	0.018304775334617718	30	0	0.018304775334617714	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
BAK1+KLF1	64	512	direct_effect_ridge	additive	-0.003004118369628354	0.0038389955844027146	0.0008348772147743615	30	30	0.0008348772147743606	9.75781955236954e-19	True	True	True	False	False	state_to_effect
BAK1+KLF1	64	512	direct_effect_ridge	compositional_ridge	-0.002791428411306007	0.0038389955844027146	0.0010475671730967103	30	30	0.0010475671730967077	2.6020852139652106e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	64	512	direct_effect_ridge	CPA_0.8.8	0.012482718798018353	0.0038389955844027146	0.016321714382421068	30	0	0.016321714382421068	0.0	False	False	False	False	False	effect_preferred_both
BAK1+KLF1	128	1024	direct_effect_ridge	additive	-0.0020631279882962076	0.0019173976591933101	-0.00014573032910289771	30	1	-0.00014573032910289744	-2.710505431213761e-19	False	False	False	False	False	state_preferred_both
BAK1+KLF1	128	1024	direct_effect_ridge	compositional_ridge	-0.0018504380299738605	0.0019173976591933101	6.695962921945109e-05	30	24	6.695962921944966e-05	1.4230153513872246e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	128	1024	direct_effect_ridge	CPA_0.8.8	0.013295093389424615	0.0019173976591933101	0.015212491048617926	30	0	0.015212491048617926	0.0	False	False	False	False	False	effect_preferred_both
BAK1+KLF1	135	1080	direct_effect_ridge	additive	-0.002014381476357722	0.0018214947222395463	-0.00019288675411817537	30	0	-0.00019288675411817564	2.710505431213761e-19	False	False	False	False	False	state_preferred_both
BAK1+KLF1	135	1080	direct_effect_ridge	compositional_ridge	-0.0018016915180353748	0.0018214947222395463	1.9803204204173343e-05	30	18	1.9803204204171462e-05	1.8804131429045468e-18	True	True	True	False	False	state_to_effect
BAK1+KLF1	135	1080	direct_effect_ridge	CPA_0.8.8	0.013382770962349364	0.0018214947222395463	0.015204265684588911	30	0	0.01520426568458891	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
BAK1+TMSB4X	8	64	direct_effect_ridge	additive	-0.015914637918908826	0.030771096581544737	0.014856458662635918	30	30	0.014856458662635911	6.938893903907228e-18	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	8	64	direct_effect_ridge	compositional_ridge	-0.01567087044515394	0.030771096581544737	0.0151002261363908	30	30	0.015100226136390796	3.469446951953614e-18	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	8	64	direct_effect_ridge	CPA_0.8.8	-0.008406830079663134	0.030771096581544737	0.02236426650188161	30	30	0.022364266501881603	6.938893903907228e-18	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	16	128	direct_effect_ridge	additive	-0.008287022084746899	0.015340822696117635	0.0070538006113707395	30	30	0.007053800611370736	3.469446951953614e-18	True	True	True	False	False	state_to_effect
